0	1	mikroCPIC1618.exe -MSF -DBG -pP18F87K22 -DL -O11111114 -fo64 -N"D:\Armando\OneDrive\PROJECTS\2024\2024-06-13 - PIC18 GNSS GPS Tracking, Accelerometer and Magnetometer\6. CODE\GNSS 4 Click\Click_GNSS4_PIC.mcppi" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"D:\Armando\OneDrive\PROJECTS\2024\2024-06-13 - PIC18 GNSS GPS Tracking, Accelerometer and Magnetometer\6. CODE\GNSS 4 Click\" -SP"D:\Armando\OneDrive\PROJECTS\2024\mikroBUS Board Definition API\Uses\" -SP"D:\Armando\OneDrive\PROJECTS\2024\2024-06-13 - PIC18 GNSS GPS Tracking, Accelerometer and Magnetometer\Uses\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\mikroBUS Board Definition API\Uses\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\GNSS 4 Click\Uses\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -IP"D:\Armando\OneDrive\PROJECTS\2024\2024-06-13 - PIC18 GNSS GPS Tracking, Accelerometer and Magnetometer\6. CODE\GNSS 4 Click\" -IP"D:\Armando\OneDrive\PROJECTS\2024\mikroBUS Board Definition API\Uses\" -IP"D:\Armando\OneDrive\PROJECTS\2024\2024-06-13 - PIC18 GNSS GPS Tracking, Accelerometer and Magnetometer\Uses\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\mikroBUS Board Definition API\Uses\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\GNSS 4 Click\Uses\" "Click_GNSS4_PIC.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CString.mcl" "__Lib_UART_c67g12.mcl" "easypicpro_v7_P18F87K22.mcl" "GNSS4_P18.mcl" "Click_GNSS4.pld"	 
warning: 0	1501	Specified search path does not exist: 'D:\Armando\OneDrive\PROJECTS\2024\mikroBUS Board Definition API\Uses'	 
warning: 0	1501	Specified search path does not exist: 'D:\Armando\OneDrive\PROJECTS\2024\2024-06-13 - PIC18 GNSS GPS Tracking, Accelerometer and Magnetometer\Uses'	 
warning: 0	1502	Specified include path does not exist: 'D:\Armando\OneDrive\PROJECTS\2024\mikroBUS Board Definition API\Uses'	 
warning: 0	1502	Specified include path does not exist: 'D:\Armando\OneDrive\PROJECTS\2024\2024-06-13 - PIC18 GNSS GPS Tracking, Accelerometer and Magnetometer\Uses'	 
hint: 0	1139	Available RAM: 3841 [bytes], Available ROM: 131072 [bytes]	 
diagnostics: 0	122	Compilation Started	stdint.h
diagnostics: 178	123	Compiled Successfully	Click_GNSS4_PIC.c
diagnostics: 0	127	All files Compiled in 125 ms	 
hint: 0	1144	Used RAM (bytes): 3724 (97%)  Free RAM (bytes): 117 (3%)	Used RAM (bytes): 3724 (97%)  Free RAM (bytes): 117 (3%)
hint: 0	1144	Used ROM (bytes): 12527 (10%)  Free ROM (bytes): 118545 (90%)	Used ROM (bytes): 12527 (10%)  Free ROM (bytes): 118545 (90%)
diagnostics: 0	125	Project Linked Successfully	Click_GNSS4_PIC.mcppi
diagnostics: 0	128	Linked in 188 ms	 
diagnostics: 0	129	Project 'Click_GNSS4_PIC.mcppi' completed: 344 ms	 
diagnostics: 0	103	Finished successfully: 03 jul. 2024, 15:09:38	Click_GNSS4_PIC.mcppi
